fips,lat,lon,elevation,slope1,slope2,slope3,slope4,slope5,slope6,slope7,slope8,aspectN,aspectE,aspectS,aspectW,aspectUnknown,WAT_LAND,NVG_LAND,URB_LAND,GRS_LAND,FOR_LAND,CULTRF_LAND,CULTIR_LAND,CULT_LAND,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7
48013,28.894296,-98.528187,121,0.0657,0.615,0.3189,0.0004,0.0,0.0,0.0,0.0,0.0733,0.1007,0.076,0.0693,0.6807,0.0,0.0,0.11379999667406099,69.71091461181639,10.2754640579224,17.2339019775391,2.66592311859131,19.8998241424561,1,1,1,2,1,1,3
48015,29.891901,-96.27017,59,0.0547,0.4403,0.4684,0.0366,0.0,0.0,0.0,0.0,0.1171,0.1539,0.1037,0.1303,0.495,0.0,0.0,1.23800003528595,53.3697700500488,1.89660120010376,42.393035888671896,1.10259103775024,43.4956283569336,1,1,1,1,1,1,1
48017,34.067521,-102.830345,1180,0.11199999999999999,0.674,0.2001,0.0139,0.0,0.0,0.0,0.0,0.0352,0.0656,0.057,0.0562,0.7859999999999999,0.0,0.0,0.0141999991610646,84.0422439575195,0.0,0.0,15.9435596466064,15.9435596466064,1,1,1,1,1,1,1
48019,29.755747999999997,-99.26068199999999,487,0.0055,0.06,0.2205,0.275,0.1458,0.2639,0.0293,0.0,0.2475,0.2757,0.2536,0.1577,0.0655,0.0,0.0,0.153699994087219,13.8756799697876,85.5768737792969,0.0,0.393746614456177,0.393746614456177,1,1,3,1,1,1,2
48021,30.103128,-97.311859,111,0.1009,0.4323,0.3358,0.1162,0.0114,0.0034,0.0,0.0,0.1223,0.122,0.11199999999999999,0.1105,0.5332,0.0,0.0,0.6195999979972839,21.148483276367198,59.4438667297363,18.611011505127,0.17703780531883198,18.788049697876,1,1,1,1,1,1,1
48023,33.618171999999994,-99.19722800000001,404,0.0503,0.5332,0.376,0.04,0.0005,0.0,0.0,0.0,0.0645,0.125,0.1108,0.1162,0.5835,0.0,0.0,0.00389999966137111,77.4823913574219,0.0695152059197426,21.821144104003896,0.6230478286743161,22.444190979003896,1,1,1,1,1,1,1
48025,28.416077,-97.742586,61,0.1142,0.6679,0.2165,0.0014,0.0,0.0,0.0,0.0,0.0396,0.0662,0.0574,0.0547,0.7821,0.0,0.0,0.6976999640464779,63.5429573059082,5.659846305847171,29.0963859558105,1.0031089782714802,30.099494934082,1,1,1,1,1,1,1
48027,31.042109999999997,-97.481921,170,0.0467,0.3896,0.4581,0.0893,0.0135,0.0028,0.0,0.0,0.1057,0.2027,0.1558,0.0995,0.4363,0.0,0.0,0.713899970054626,57.784782409668,10.390453338623,30.533422470092802,0.57744038105011,31.110862731933604,1,1,1,3,1,1,4
48029,29.448671,-98.520147,190,0.0758,0.4915,0.3868,0.0436,0.0023,0.0,0.0,0.0,0.0615,0.1296,0.1169,0.1247,0.5673,0.0,0.0,3.67729997634888,54.122344970703104,13.0544767379761,26.046571731567397,3.0993061065673797,29.145877838134798,1,1,1,1,1,1,1
48031,30.265604999999997,-98.399977,417,0.004,0.0553,0.32,0.4739,0.1071,0.0397,0.0,0.0,0.2389,0.3211,0.2019,0.1788,0.0593,0.0,0.0,0.584500014781952,37.9755058288574,53.262996673584006,6.75968837738037,1.41730999946594,8.17699813842773,1,1,3,1,1,1,2
48033,32.744062,-101.433033,739,0.0633,0.4307,0.4075,0.0862,0.0096,0.0027,0.0,0.0,0.0873,0.1769,0.1296,0.1122,0.494,0.0,0.0,0.0,99.90493774414058,0.0,0.0,0.095061331987381,0.095061331987381,1,1,1,1,1,1,1
48035,31.900764000000002,-97.637632,245,0.027999999999999997,0.2429,0.3807,0.2344,0.0892,0.0245,0.0003,0.0,0.1415,0.2035,0.1945,0.1896,0.2709,0.0,0.0,5.68059968948364,48.4921379089355,39.895072937011705,4.68015146255493,1.25203704833984,5.93218851089478,1,1,1,1,1,1,1
48037,33.446051000000004,-94.422375,94,0.0494,0.45,0.4475,0.0522,0.0009,0.0,0.0,0.0,0.1072,0.1272,0.1314,0.1348,0.4994,11.963000297546401,0.0,0.7361000180244449,7.030194282531741,70.6624526977539,9.46988487243652,0.13836769759655,9.60825252532959,3,2,1,1,1,1,1
48039,29.167818,-95.434647,5,0.2194,0.7070000000000001,0.0734,0.0002,0.0,0.0,0.0,0.0,0.0203,0.023,0.0129,0.0174,0.9264,0.0,0.0,5.2093997001647905,19.307308197021502,23.497634887695302,51.8185539245605,0.16710190474987,51.9856567382813,1,1,1,2,1,1,1
48043,29.808996999999998,-103.25245799999999,918,0.0191,0.2745,0.4147,0.1192,0.0639,0.0837,0.0209,0.004,0.1292,0.2196,0.2506,0.107,0.2936,0.0,12.948692321777301,0.0144000006839633,87.0360946655273,0.0,0.0,0.0008138421108014879,0.0008138421108014879,1,1,3,1,1,1,2
48041,30.656725,-96.302389,89,0.0589,0.5205,0.4111,0.0095,0.0,0.0,0.0,0.0,0.1152,0.1178,0.0993,0.0883,0.5794,0.0,0.0,3.3835000991821302,49.395111083984396,6.34122085571289,40.7793426513672,0.10082580149173699,40.8801689147949,1,1,1,1,1,1,1
48045,34.525172999999995,-101.205893,946,0.032,0.2252,0.1798,0.14800000000000002,0.1349,0.1978,0.0712,0.0111,0.1951,0.2528,0.2046,0.0903,0.2572,0.0,3.0,0.0252999998629093,71.1796646118164,20.9498443603516,0.0,4.845191955566411,4.845191955566411,1,1,1,1,1,1,1
48047,27.034994,-98.215276,57,0.1747,0.7248,0.1005,0.0,0.0,0.0,0.0,0.0,0.0236,0.0371,0.0248,0.015,0.8995,0.0,0.0,0.032200001180172,94.69338989257808,0.0,4.696412086486821,0.577999174594879,5.27441120147705,2,1,1,1,1,1,1
48049,31.764103000000002,-98.99847,415,0.0642,0.4993,0.3864,0.0386,0.0082,0.0033,0.0,0.0,0.1036,0.1207,0.0969,0.1153,0.5635,0.0,0.0,0.5242999792099,58.7830657958984,10.352895736694302,29.656192779541,0.683545112609863,30.3397369384766,1,1,1,1,1,1,1
48051,30.493487,-96.622091,93,0.05,0.4551,0.4726,0.0223,0.0,0.0,0.0,0.0,0.0903,0.1415,0.1239,0.1392,0.5051,0.0,0.0,1.37339997291565,43.854034423828104,9.23977661132813,45.3935127258301,0.139274597167969,45.532787322998,1,1,1,1,1,1,1
48055,29.840421999999997,-97.631097,140,0.0742,0.4317,0.4276,0.0663,0.0002,0.0,0.0,0.0,0.0821,0.1734,0.1106,0.128,0.5059,0.0,0.0,6.00970029830933,40.1621551513672,6.91927003860474,46.7388305664063,0.17004549503326402,46.9088745117188,1,1,1,1,1,1,1
48053,30.789616,-98.201195,411,0.0194,0.2816,0.5695,0.1031,0.0206,0.0058,0.0,0.0,0.1896,0.2117,0.1923,0.1054,0.301,0.0,0.0,0.34709998965263394,12.2640552520752,86.2380599975586,1.09207606315613,0.0587089918553829,1.1507850885391202,1,1,3,1,1,1,2
48057,28.445365999999996,-96.5833,5,0.1751,0.3395,0.0248,0.0001,0.0,0.0,0.0,0.0,0.006999999999999999,0.0059,0.0072,0.0048,0.5146,63.0,0.0,0.0,3.449059009552,33.1237106323242,0.0,0.427230298519135,0.427230298519135,7,7,7,7,7,7,7
